YEAR,"CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male",HISPANIC OR LATINO AND RACE!!Total population,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race),HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races,"HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races",HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone,Race alone or in combination with one or more other races!!Total population,Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native,Race alone or in combination with one or more other races!!Total population!!Asian,Race alone or in combination with one or more other races!!Total population!!Black or African American,Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander,Race alone or in combination with one or more other races!!Total population!!Some other race,Race alone or in combination with one or more other races!!Total population!!White,RACE!!Total population,RACE!!Total population!!One race,RACE!!Total population!!One race!!American Indian and Alaska Native,RACE!!Total population!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping,RACE!!Total population!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping,RACE!!Total population!!One race!!American Indian and Alaska Native!!Navajo tribal grouping,RACE!!Total population!!One race!!American Indian and Alaska Native!!Sioux tribal grouping,RACE!!Total population!!One race!!Asian,RACE!!Total population!!One race!!Asian!!Asian Indian,RACE!!Total population!!One race!!Asian!!Chinese,RACE!!Total population!!One race!!Asian!!Filipino,RACE!!Total population!!One race!!Asian!!Japanese,RACE!!Total population!!One race!!Asian!!Korean,RACE!!Total population!!One race!!Asian!!Other Asian,RACE!!Total population!!One race!!Asian!!Vietnamese,RACE!!Total population!!One race!!Black or African American,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Chamorro,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan,RACE!!Total population!!One race!!Some other race,RACE!!Total population!!One race!!White,RACE!!Total population!!One race.1,RACE!!Total population!!Two or more races,RACE!!Total population!!Two or more races!!Black or African American and American Indian and Alaska Native,RACE!!Total population!!Two or more races!!White and American Indian and Alaska Native,RACE!!Total population!!Two or more races!!White and Asian,RACE!!Total population!!Two or more races!!White and Black or African American,RACE!!Total population!!Two or more races.1,SEX AND AGE!!Total population,SEX AND AGE!!Total population!!10 to 14 years,SEX AND AGE!!Total population!!15 to 19 years,SEX AND AGE!!Total population!!16 years and over,SEX AND AGE!!Total population!!18 years and over,SEX AND AGE!!Total population!!18 years and over!!Female,SEX AND AGE!!Total population!!18 years and over!!Male,SEX AND AGE!!Total population!!18 years and over!!Sex ratio (males per 100 females),SEX AND AGE!!Total population!!18 years and over.1,SEX AND AGE!!Total population!!20 to 24 years,SEX AND AGE!!Total population!!21 years and over,SEX AND AGE!!Total population!!25 to 34 years,SEX AND AGE!!Total population!!35 to 44 years,SEX AND AGE!!Total population!!45 to 54 years,SEX AND AGE!!Total population!!5 to 9 years,SEX AND AGE!!Total population!!55 to 59 years,SEX AND AGE!!Total population!!60 to 64 years,SEX AND AGE!!Total population!!62 years and over,SEX AND AGE!!Total population!!65 to 74 years,SEX AND AGE!!Total population!!65 years and over,SEX AND AGE!!Total population!!65 years and over!!Female,SEX AND AGE!!Total population!!65 years and over!!Male,SEX AND AGE!!Total population!!65 years and over!!Sex ratio (males per 100 females),SEX AND AGE!!Total population!!65 years and over.1,SEX AND AGE!!Total population!!75 to 84 years,SEX AND AGE!!Total population!!85 years and over,SEX AND AGE!!Total population!!Female,SEX AND AGE!!Total population!!Male,SEX AND AGE!!Total population!!Median age (years),SEX AND AGE!!Total population!!Sex ratio (males per 100 females),SEX AND AGE!!Total population!!Under 18 years,SEX AND AGE!!Total population!!Under 5 years,Total housing units,Zipcode
2020,61,40,21,61,0,0,0,0,0,61,0,0,0,0,0,19,19,0,42,61,19,0,0,0,0,61,61,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,19,0,19,0,0,19,61,0,0,61,61,40,21,52.5,61,0,61,0,0,0,0,0,21,61,0,40,40,0,-,40,40,0,40,21,75.5,52.5,0,0,81,98536
2020,1877,855,1022,2487,124,0,119,5,0,2363,23,40,3,0,1,127,127,0,2169,2487,119,65,21,7,1,2401,2487,2360,28,0,0,0,0,40,0,0,0,0,10,30,0,3,0,0,0,0,0,1,2288,2360,127,0,91,11,11,127,2487,122,140,1971,1894,867,1027,118.5,1894,141,1831,317,345,336,243,125,181,473,272,412,205,207,101,412,91,49,1177,1310,39.5,111.3,593,125,1054,98537
2020,295,152,143,378,28,0,28,0,0,350,0,0,0,0,0,31,31,0,319,378,31,0,0,0,26,359,378,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,321,340,38,0,31,0,0,38,378,27,31,327,309,158,151,95.6,309,27,298,26,57,43,11,27,24,106,47,94,52,42,80.8,94,32,15,190,188,42.9,98.9,69,11,165,98538
2020,8368,4279,4089,10858,971,0,866,105,0,9887,244,55,21,0,0,509,509,0,9058,10858,606,94,129,6,24,10538,10858,10325,244,3,0,0,0,55,0,0,16,0,39,0,0,21,0,0,0,0,0,0,10005,10325,533,0,362,33,108,533,10858,756,641,8597,8416,4279,4137,96.7,8416,548,8018,1219,1147,1547,682,707,997,2563,1212,1959,994,965,97.1,1959,508,239,5545,5313,41.3,95.8,2442,655,4657,98541
2020,719,368,351,1080,311,0,311,0,0,769,0,34,0,0,0,5,5,0,730,1080,5,34,0,0,300,1046,1080,775,0,0,0,0,0,34,0,0,34,0,0,0,0,0,0,0,0,0,0,0,741,775,305,0,5,0,0,305,1080,77,84,821,774,402,372,92.5,774,56,737,127,67,184,101,23,107,222,81,173,61,112,183.6,173,76,16,560,520,35.7,92.9,306,81,316,98542
2020,34,22,12,80,21,0,0,0,21,59,0,0,0,0,0,0,0,0,59,80,0,0,0,0,0,80,80,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,80,0,0,0,0,0,0,80,12,34,68,34,22,12,54.5,34,0,34,0,14,12,0,0,0,8,0,8,8,0,-,8,8,0,43,37,16.8,86,46,0,22,98544
2020,2695,1195,1500,3225,224,22,121,71,10,3001,4,20,0,33,0,87,87,0,2857,3225,30,99,0,33,194,3096,3225,2998,4,0,0,0,0,20,0,0,14,0,0,6,0,0,33,0,33,0,0,54,2887,2998,227,0,8,79,0,227,3225,230,134,2738,2713,1213,1500,123.7,2713,202,2639,422,137,431,103,256,342,1052,488,849,321,528,164.5,849,316,45,1531,1694,49.4,110.6,512,119,2438,98546
2020,1247,655,592,1420,208,0,169,39,0,1212,0,0,0,0,0,0,0,0,1212,1420,0,0,0,0,0,1420,1420,1420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1420,1420,0,0,0,0,0,0,1420,0,0,1247,1247,655,592,90.4,1247,159,1247,183,46,37,21,87,201,735,350,534,245,289,118,534,173,11,706,714,62.3,101.1,173,152,1466,98547
2020,1898,1011,887,1989,24,0,17,7,0,1965,19,0,9,0,0,63,63,0,1874,1989,82,0,9,0,17,1944,1989,1926,19,0,0,0,16,0,0,0,0,0,0,0,0,9,0,0,0,0,0,17,1881,1926,63,0,63,0,0,63,1989,11,8,1918,1914,1023,891,87.1,1914,29,1910,74,115,394,60,185,48,1113,544,1065,448,617,137.7,1065,449,72,1034,955,66.4,92.4,75,0,2418,98548
2020,8830,4351,4479,11307,805,70,525,206,4,10502,404,319,51,16,0,273,255,18,9439,11307,636,456,55,16,128,10386,11307,10944,412,0,0,0,0,319,10,100,66,12,14,117,0,51,16,16,0,0,0,105,10041,10944,363,0,217,112,4,363,11307,697,528,9344,9110,4459,4651,104.3,9110,608,8786,1340,1288,1149,676,756,986,3476,1851,2765,1352,1413,104.5,2765,673,241,5434,5873,45,108.1,2197,514,5527,98550
2020,361,152,209,526,96,0,93,0,3,430,7,0,0,0,3,15,15,0,405,526,22,0,0,0,24,496,526,510,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,480,510,16,0,15,0,0,16,526,47,3,395,395,158,237,150,395,34,371,59,68,16,39,44,32,154,99,142,42,100,238.1,142,23,20,225,301,39,133.8,131,42,210,98552
2020,243,146,97,243,0,0,0,0,0,243,0,29,0,0,0,0,0,0,214,243,0,29,0,0,0,214,243,243,0,0,0,0,0,29,0,0,0,16,0,13,0,0,0,0,0,0,0,0,214,243,0,0,0,0,0,0,243,0,0,243,243,146,97,66.4,243,0,243,0,0,0,0,16,0,227,123,227,130,97,74.6,227,88,16,146,97,73,66.4,0,0,986,98555
2020,2569,1277,1292,3384,212,0,188,0,24,3172,35,69,17,0,0,72,72,0,2979,3384,73,95,25,0,7,3256,3384,3312,35,0,0,0,0,69,0,25,0,2,11,31,0,17,0,0,0,0,0,7,3184,3312,72,0,38,26,8,72,3384,279,96,2645,2612,1289,1323,102.6,2612,111,2543,496,356,442,239,213,209,843,434,730,391,339,86.7,730,207,89,1715,1669,42.1,97.3,772,213,1496,98557
2020,63,25,38,64,0,0,0,0,0,64,0,0,11,0,0,1,1,0,52,64,1,0,11,0,0,53,64,63,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,52,63,1,0,1,0,0,1,64,0,0,64,64,26,38,146.2,64,0,64,0,1,3,0,2,11,47,12,47,24,23,95.8,47,13,22,26,38,82.1,146.2,0,0,0,98558
2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,-,-,0,0,0,98559
2020,86,26,60,104,0,0,0,0,0,104,0,0,0,0,0,0,0,0,104,104,0,0,0,0,0,104,104,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,104,0,0,0,0,0,0,104,0,21,97,86,26,60,230.8,86,0,76,20,21,11,0,6,10,15,4,8,2,6,300,8,4,0,33,71,37.7,215.2,18,7,71,98560
2020,49,0,49,49,0,0,0,0,0,49,0,0,0,0,0,0,0,0,49,49,0,0,0,0,0,49,49,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,49,0,0,0,0,0,0,49,0,0,49,49,0,49,-,49,0,49,49,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,49,-,-,0,0,173,98562
2020,5850,3089,2761,7691,200,0,176,24,0,7491,49,138,6,0,0,253,229,24,7045,7691,231,185,6,0,43,7479,7691,7438,49,0,0,0,49,138,0,0,4,0,134,0,0,6,0,0,0,0,0,19,7226,7438,253,0,182,47,0,253,7691,529,586,6196,5933,3135,2798,89.3,5933,270,5735,779,786,931,408,591,367,2279,956,2079,1086,993,91.4,2079,848,275,4069,3622,45.8,89,1758,365,3513,98563
2020,1842,918,924,2394,318,47,255,16,0,2076,14,12,0,0,0,154,154,0,1896,2394,129,23,82,0,159,2162,2394,2233,14,0,5,0,3,12,0,0,0,0,12,0,0,47,0,0,0,0,0,159,2001,2233,161,0,115,11,35,161,2394,135,88,2029,1987,1007,980,97.3,1987,44,1923,261,139,263,122,323,273,780,326,643,315,328,104.1,643,287,30,1217,1177,56,96.7,407,103,1290,98564
2020,554,274,280,807,40,0,37,3,0,767,10,1,12,0,0,52,52,0,692,807,62,2,22,0,16,767,807,745,10,0,0,0,0,1,0,1,0,0,0,0,0,12,0,0,0,0,0,16,706,745,62,0,51,0,10,62,807,70,45,598,571,285,286,100.4,571,104,561,165,130,62,34,31,27,52,20,42,24,18,75,42,22,0,386,421,27.9,109.1,236,97,244,98565
2020,2027,1033,994,2492,219,0,211,4,4,2273,332,5,3,26,5,72,64,8,1830,2492,444,21,9,50,137,2022,2492,2311,397,42,0,0,0,5,0,0,0,5,0,0,0,3,26,0,14,3,9,28,1852,2311,181,0,46,0,2,181,2492,121,68,2071,2039,1043,996,95.5,2039,117,2012,332,167,353,108,240,377,684,270,444,195,249,127.7,444,109,65,1272,1220,49.6,95.9,453,165,1174,98568
2020,5861,3017,2844,6444,321,0,148,63,110,6123,155,198,2,12,26,385,385,0,5345,6444,429,309,2,12,125,5967,6444,6044,155,0,0,0,10,198,0,98,35,15,50,0,0,2,12,0,0,0,12,110,5567,6044,400,0,274,111,0,400,6444,140,251,6080,5963,3106,2857,92,5963,37,5864,378,515,814,132,389,1182,3209,1755,2549,1374,1175,85.5,2549,609,185,3347,3097,62,92.5,481,57,5590,98569
2020,3217,1666,1551,4189,243,0,193,35,15,3946,42,22,1,0,0,103,103,0,3778,4189,169,22,1,0,173,4092,4189,3921,66,0,0,0,0,22,0,0,0,0,14,0,8,1,0,0,0,0,0,8,3824,3921,268,0,103,0,0,268,4189,235,227,3405,3325,1738,1587,91.3,3325,156,3249,563,543,467,243,332,382,1020,521,806,346,460,132.9,806,246,39,2252,1937,43.5,86,864,235,1759,98570
2020,184,127,57,214,0,0,0,0,0,214,67,0,0,0,0,0,0,0,147,214,67,0,0,0,0,147,214,214,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,214,0,0,0,0,0,0,214,0,0,184,184,127,57,44.9,184,61,152,0,0,0,0,0,95,56,28,28,28,0,-,28,0,0,157,57,60.2,36.3,30,30,418,98571
2020,667,294,373,925,46,4,27,12,3,879,1,0,0,0,0,61,61,0,817,925,56,18,4,9,0,915,925,852,1,0,0,0,0,4,4,0,0,0,0,0,0,0,5,0,2,0,3,0,842,852,73,0,51,14,0,73,925,55,77,718,672,296,376,127,672,47,633,126,154,82,74,47,38,183,124,155,80,75,93.8,155,31,0,430,495,35.4,115.1,253,70,380,98572
2020,116,66,50,122,2,0,2,0,0,120,0,3,0,0,0,1,1,0,116,122,1,3,0,0,2,117,122,121,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,2,116,121,1,0,1,0,0,1,122,3,1,119,118,66,52,78.8,118,10,117,14,0,17,0,17,22,44,13,38,19,19,100,38,9,16,66,56,59.9,84.8,4,0,154,98575
2020,3800,2021,1779,5196,213,0,145,68,0,4983,64,54,26,54,3,206,202,4,4576,5196,192,138,63,71,15,4982,5196,4954,64,0,0,0,12,55,0,3,3,14,22,13,0,30,54,0,40,14,0,11,4740,4954,242,0,105,67,26,242,5196,352,291,4133,3905,2072,1833,88.5,3905,112,3839,693,556,774,359,395,476,1078,577,855,542,313,57.7,855,228,50,2711,2485,42.9,91.7,1291,333,2109,98576
2020,5408,2778,2630,7235,752,0,752,0,0,6483,317,184,23,71,55,386,298,88,5447,7235,443,286,123,119,552,6158,7235,6801,383,21,0,0,0,184,0,0,6,4,0,174,0,23,71,0,5,66,0,416,5724,6801,434,0,60,90,100,434,7235,441,380,5857,5692,2942,2750,93.5,5692,337,5524,722,892,789,403,510,631,2068,926,1658,810,848,104.7,1658,452,280,3645,3590,44.6,98.5,1543,472,3224,98577
2020,9927,4811,5116,12845,1377,0,1070,80,227,11468,238,38,61,0,1,602,602,0,10528,12845,412,129,459,14,65,12447,12845,12236,238,12,0,0,0,38,0,0,28,10,0,0,0,61,0,0,0,0,0,61,11838,12236,609,0,130,77,354,609,12845,767,850,10534,10078,4901,5177,105.6,10078,505,9719,1241,1724,2373,716,710,1040,2892,1344,2212,1231,981,79.7,2212,850,18,6266,6579,44.2,105,2767,707,5217,98579
2020,8829,4361,4468,11495,441,0,234,118,89,11054,35,96,184,0,0,485,468,17,10254,11495,265,221,321,0,191,11007,11495,10988,35,0,0,0,0,96,0,9,53,12,1,0,21,184,0,0,0,0,0,152,10521,10988,507,0,230,101,116,507,11495,1095,442,9058,8897,4429,4468,100.9,8897,678,8424,1070,1562,1644,669,958,866,2245,1239,1914,832,1082,130,1914,415,260,5491,6004,42.1,109.3,2598,597,4754,98580
2020,424,257,167,424,0,0,0,0,0,424,0,0,0,0,0,9,9,0,415,424,9,0,0,0,0,424,424,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415,415,9,0,9,0,0,9,424,0,0,424,424,257,167,65,424,0,424,0,0,26,0,13,0,385,153,385,237,148,62.4,385,172,60,257,167,76.6,65,0,0,315,98581
2020,83,46,37,94,0,0,0,0,0,94,0,0,0,0,0,0,0,0,94,94,0,0,0,0,0,94,94,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,94,0,0,0,0,0,0,94,6,6,83,83,46,37,80.4,83,0,77,0,0,36,5,11,8,30,22,22,11,11,100,22,0,0,57,37,53.1,64.9,11,0,113,98582
2020,88,44,44,97,0,0,0,0,0,97,0,0,0,0,0,0,0,0,97,97,0,0,0,0,0,97,97,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,97,0,0,0,0,0,0,97,9,3,88,88,44,44,100,88,11,76,3,25,6,0,17,2,23,5,21,11,10,90.9,21,16,0,53,44,43.7,83,9,0,43,98583
2020,27737,13659,14078,37698,4672,10,2378,2110,174,33026,905,393,117,216,261,2833,2805,28,28301,37698,2904,964,1043,368,3058,33090,37698,34197,1131,32,27,0,58,399,0,123,138,25,75,25,13,236,221,55,8,0,158,2461,29749,34197,3501,13,1508,417,635,3501,37698,2163,2198,30485,29548,14385,15163,105.4,29548,2212,28188,4380,4883,3779,2153,2855,3077,9166,4495,7402,4313,3089,71.6,7402,2082,825,18208,19490,40.7,107,8150,2596,16547,98584
2020,532,351,181,630,23,0,0,0,23,607,0,0,0,0,0,11,11,0,596,630,11,0,0,0,23,630,630,596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,596,596,34,0,11,0,0,34,630,75,0,532,532,351,181,51.6,532,0,532,46,91,30,0,54,112,249,107,199,167,32,19.2,199,82,10,392,238,56.9,60.7,98,23,378,98585
2020,1384,673,711,1763,337,0,316,21,0,1426,17,96,39,0,5,159,143,16,1110,1763,178,107,51,0,214,1386,1763,1590,38,0,0,0,0,96,0,11,10,0,0,75,0,39,0,0,0,0,0,198,1219,1590,173,6,134,11,6,173,1763,100,96,1511,1460,709,751,105.9,1460,57,1415,157,253,205,49,139,141,556,261,463,248,215,86.7,463,148,54,854,909,49.8,106.4,303,103,931,98586
2020,610,306,304,784,83,0,74,2,7,701,592,0,0,11,0,22,22,0,76,784,682,0,5,14,6,137,784,728,626,0,0,9,3,0,0,0,0,0,0,0,0,0,11,5,6,0,0,6,85,728,56,1,48,0,0,56,784,62,57,646,618,306,312,102,618,68,582,121,56,72,38,32,31,237,173,215,136,79,58.1,215,34,8,377,407,36.8,108,166,32,333,98587
2020,1424,664,760,1489,56,0,13,43,0,1433,0,9,81,0,0,31,31,0,1312,1489,10,30,81,20,0,1399,1489,1438,0,0,0,0,0,9,0,0,9,0,0,0,0,81,0,0,0,0,0,0,1348,1438,51,0,10,21,0,51,1489,0,0,1465,1465,705,760,107.8,1465,10,1455,73,141,106,0,286,308,637,438,541,307,234,76.2,541,69,34,729,760,61.4,104.3,24,24,1327,98588
2020,5346,2808,2538,6955,204,0,183,21,0,6751,65,80,155,0,0,464,449,15,5987,6955,262,241,242,22,84,6623,6955,6436,65,0,0,0,19,80,62,0,6,0,12,0,0,155,0,0,0,0,0,14,6122,6436,519,0,197,143,79,519,6955,486,397,5618,5540,2887,2653,91.9,5540,457,5301,568,988,990,309,568,482,1616,952,1325,704,621,88.2,1325,242,131,3517,3438,43.5,97.8,1415,385,3006,98589
2020,444,211,233,491,7,0,7,0,0,484,113,0,0,0,0,0,0,0,371,491,113,0,0,0,7,371,491,491,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,371,491,0,0,0,0,0,0,491,17,13,448,444,211,233,110.4,444,6,430,25,83,105,25,109,22,94,70,86,54,32,59.3,86,3,13,225,266,50.7,118.2,47,0,351,98590
2020,2905,1402,1503,3411,64,0,64,0,0,3347,7,34,0,0,0,145,145,0,3161,3411,133,34,19,0,6,3370,3411,3260,7,0,0,0,0,34,0,0,0,34,0,0,0,0,0,0,0,0,0,0,3219,3260,151,0,126,0,19,151,3411,92,175,3002,2938,1417,1521,107.3,2938,108,2821,374,369,568,97,135,335,1236,513,976,481,495,102.9,976,390,73,1686,1725,50.5,102.3,473,182,1606,98591
2020,1572,773,799,1740,0,0,0,0,0,1740,120,0,0,0,0,119,119,0,1501,1740,198,41,0,0,0,1620,1740,1621,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1501,1621,119,0,78,41,0,119,1740,90,78,1585,1572,773,799,103.4,1572,41,1531,196,65,240,0,98,132,877,415,800,455,345,75.8,800,339,46,843,897,63.4,106.4,168,0,1300,98592
2020,916,494,422,1232,366,2,316,48,0,866,9,0,15,1,0,27,27,0,814,1232,27,12,15,4,159,1113,1232,1134,9,0,0,0,0,0,0,0,0,0,0,0,0,15,1,1,0,0,0,94,1015,1134,98,0,18,12,0,98,1232,84,98,1015,980,527,453,86,980,113,920,108,123,107,40,78,83,377,239,321,152,169,111.2,321,61,21,624,608,39.4,97.4,252,77,442,98593
2020,2236,1124,1112,2716,294,0,95,199,0,2422,17,14,3,0,0,67,67,0,2321,2716,64,19,18,0,34,2648,2716,2649,17,0,0,0,0,14,0,0,0,0,14,0,0,3,0,0,0,0,0,34,2581,2649,67,0,47,5,15,67,2716,91,141,2325,2283,1137,1146,100.8,2283,230,2218,327,173,273,159,204,365,871,459,647,288,359,124.7,647,158,30,1359,1357,51,99.9,433,106,2129,98595
2020,5439,2728,2711,7579,960,23,806,97,34,6619,59,239,30,21,0,443,407,36,5827,7579,417,344,138,92,388,6957,7579,6902,82,0,0,0,0,276,1,104,53,51,23,16,28,30,49,49,0,0,0,180,6285,6902,677,1,288,54,42,677,7579,584,499,6017,5674,2874,2800,97.4,5674,425,5506,711,981,842,455,511,448,1953,1049,1656,806,850,105.5,1656,494,113,3778,3801,41.2,100.6,1905,467,2790,98596
2020,18338,8933,9405,24968,2069,38,1563,354,114,22899,296,469,160,353,0,1476,1476,0,20145,24968,1051,942,475,554,674,23125,24968,23220,323,12,16,0,80,470,0,15,121,52,133,93,56,160,353,74,197,82,0,402,21512,23220,1748,75,548,440,165,1748,24968,1435,1506,19652,18900,9243,9657,104.5,18900,1730,18095,3509,3379,3575,1770,1681,1231,4088,2225,3334,1787,1547,86.6,3334,857,252,12450,12518,36.7,100.5,6068,1818,9818,98597
2020,2172,1053,1119,3266,7,0,0,7,0,3259,23,4,0,0,0,6,6,0,3226,3266,29,4,0,0,0,3239,3266,3260,23,7,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3233,3260,6,0,6,0,0,6,3266,369,97,2338,2259,1131,1128,99.7,2259,196,2213,314,416,351,346,250,139,661,340,589,292,297,101.7,589,196,53,1655,1611,37.2,97.3,1007,199,1229,98601
2020,120,64,56,120,0,0,0,0,0,120,0,0,0,0,0,0,0,0,120,120,0,0,0,0,0,120,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,120,0,0,0,0,0,0,120,0,0,120,120,64,56,87.5,120,0,120,0,0,0,0,0,59,111,14,61,13,48,369.2,61,47,0,64,56,72.3,87.5,0,0,76,98602
2020,727,391,336,961,51,0,51,0,0,910,39,0,0,0,0,71,55,16,800,961,94,0,0,0,16,922,961,890,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,851,890,71,0,55,0,0,71,961,58,25,738,727,391,336,85.9,727,24,700,166,42,149,94,74,38,237,162,220,104,116,111.5,220,46,12,475,486,46,102.3,234,71,728,98603
2020,27230,14234,12996,37333,2110,8,1643,290,169,35223,138,514,139,25,71,896,775,121,33440,37333,525,865,309,137,358,36117,37333,36361,164,20,16,9,3,521,0,97,135,29,30,95,135,239,25,0,17,0,8,187,35225,36361,972,24,311,316,45,972,37333,2665,2765,29054,27884,14640,13244,90.5,27884,2551,26412,3989,4612,4800,2449,2614,2331,7447,3817,6040,3169,2871,90.6,6040,1761,462,19173,18160,38.8,94.7,9449,2517,13320,98604
2020,851,420,431,1089,217,0,214,3,0,872,10,7,0,1,0,22,9,13,832,1089,12,14,2,8,57,1032,1089,1059,10,0,0,0,0,7,3,0,2,0,2,0,0,0,1,0,0,1,0,36,1005,1059,30,0,0,0,0,30,1089,46,68,952,919,479,440,91.9,919,71,900,117,118,165,33,85,126,284,148,218,132,86,65.2,218,52,18,561,528,49,94.1,170,42,548,98605
2020,6943,3631,3312,9203,286,0,62,224,0,8917,14,173,3,0,15,383,288,95,8329,9203,175,258,32,57,145,8955,9203,8784,23,6,0,0,0,183,6,19,75,20,0,10,53,3,0,0,0,0,0,32,8543,8784,419,0,145,75,29,419,9203,644,648,7325,7036,3666,3370,91.9,7036,359,6717,729,931,1196,680,832,804,2448,1338,1981,1089,892,81.9,1981,480,163,4733,4470,47.3,94.4,2167,399,3403,98606
2020,22857,11649,11208,32897,1375,9,774,569,23,31522,211,3183,531,18,13,1905,1838,67,25661,32897,708,4279,1076,264,510,28532,32897,30559,257,51,0,0,0,3198,679,1162,233,202,323,262,337,562,28,10,0,18,0,235,26279,30559,2338,37,304,1016,397,2338,32897,2886,2982,25678,24112,12348,11764,95.3,24112,1300,23044,2886,4566,5951,2382,2424,1783,5410,3105,4384,2260,2124,94,4384,957,322,16602,16295,41.6,98.2,8785,1353,11639,98607
2020,2343,1176,1167,3199,291,0,291,0,0,2908,73,64,2,0,0,3,3,0,2766,3199,76,64,2,3,84,2976,3199,3196,73,0,0,0,0,64,0,0,0,64,0,0,0,2,0,0,0,0,0,84,2973,3196,3,0,0,0,0,3,3199,212,189,2529,2427,1240,1187,95.7,2427,132,2379,443,415,347,232,274,199,709,276,569,316,253,80.1,569,172,121,1605,1594,38,99.3,772,187,1525,98610
2020,6826,3635,3191,8803,307,0,152,82,73,8496,80,47,30,77,0,499,378,121,7763,8803,411,47,120,117,142,8476,8803,8293,121,13,0,0,8,47,0,0,0,0,0,47,0,30,108,92,7,0,9,21,7966,8293,510,0,290,0,90,510,8803,608,483,7101,6860,3640,3220,88.5,6860,400,6571,1042,941,1184,451,457,613,2531,1216,2076,1058,1018,96.2,2076,739,121,4488,4315,44.3,96.1,1943,548,3349,98611
